,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,68.81%,68.99%,68.99%,68.99%,68.99%,68.99%,68.99%,68.99%,52.01%,53.01%,50.00%,50.00%
FIIs +,26.62%,26.50%,26.60%,26.62%,23.94%,21.41%,20.71%,16.40%,23.15%,24.19%,26.15%,26.42%
DIIs +,2.96%,2.92%,2.87%,2.47%,4.51%,6.69%,7.08%,9.90%,16.97%,16.99%,17.79%,18.41%
Public +,1.59%,1.57%,1.50%,1.89%,2.53%,2.90%,3.18%,4.68%,7.82%,5.81%,6.01%,5.12%
Others +,0.02%,0.02%,0.01%,0.03%,0.02%,0.01%,0.04%,0.04%,0.03%,0.01%,0.04%,0.03%
No. of Shareholders,"2,07,607","2,33,276","2,30,242","2,58,997","2,71,679","2,64,674","2,67,108","3,10,694","4,06,689","4,25,876","4,41,036","4,21,427"
