,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,441","1,409","1,396","2,585","2,839","2,356","8,739","7,212","6,496","7,751","1,822","10,151"
Cash from Investing Activity +,-427,-463,"-1,734","-1,022","-2,059","-31,282","-2,666","-2,426","-3,575","-1,354","-2,010","-1,840"
Cash from Financing Activity +,"-1,680",-991,469,140,-801,"28,893","-2,175","-6,713","-1,921","-6,227",164,"-4,793"
Net Cash Flow,-667,-45,131,"1,703",-21,-33,"3,898","-1,927","1,000",170,-24,"3,518"
