,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,22,22,22,22,22,22,23,25,37,50,51,52
Reserves,-24,60,78,97,100,102,122,157,445,"1,478","2,760","6,350"
Borrowings +,135,66,45,38,32,26,124,155,96,4,33,795
Other Liabilities +,174,311,298,353,395,306,374,383,246,493,"1,094","2,219"
Total Liabilities,307,459,444,510,550,457,642,720,824,"2,026","3,938","9,417"
Fixed Assets +,197,191,161,334,317,295,374,362,400,532,"1,235","1,613"
CWIP,4,73,158,4,2,4,42,85,86,298,"1,268","4,181"
Investments,0,0,9,0,0,0,0,0,0,37,29,75
Other Assets +,106,195,116,172,231,158,226,274,338,"1,159","1,406","3,548"
Total Assets,307,459,444,510,550,457,642,720,824,"2,026","3,938","9,417"
