,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,10,10,10,10,10,10
Reserves,"1,269","1,533","1,818","2,203","2,451","2,783"
Borrowings +,0,2,18,35,5,63
Other Liabilities +,163,188,243,335,374,423
Total Liabilities,"1,443","1,734","2,090","2,584","2,840","3,279"
Fixed Assets +,751,757,873,"1,159","1,489","1,724"
CWIP,31,56,51,242,249,438
Investments,227,289,94,227,64,36
Other Assets +,434,632,"1,071",955,"1,038","1,081"
Total Assets,"1,443","1,734","2,090","2,584","2,840","3,279"
