,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,71.65%,71.65%,71.65%,71.65%,71.65%,71.69%,71.69%,71.66%,67.52%,67.48%,67.41%,67.41%
FIIs +,2.16%,1.82%,1.89%,2.04%,2.97%,2.51%,3.09%,4.24%,6.81%,7.04%,7.52%,5.23%
DIIs +,21.33%,21.89%,22.34%,22.52%,21.50%,21.82%,20.72%,19.61%,21.47%,21.46%,21.21%,23.93%
Public +,4.86%,4.65%,4.12%,3.79%,3.88%,3.98%,4.50%,4.48%,4.20%,4.04%,3.86%,3.41%
No. of Shareholders,"30,740","31,410","31,289","32,414","36,784","44,003","51,812","61,454","67,068","70,466","74,831","66,181"
