,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,60.41%,60.38%,52.26%,56.18%,56.03%,55.80%,55.63%,55.45%,40.14%
FIIs +,20.41%,22.79%,29.74%,23.87%,21.82%,21.09%,17.72%,14.84%,20.61%
DIIs +,9.85%,7.58%,8.01%,14.17%,17.15%,18.04%,21.00%,24.63%,34.91%
Public +,9.33%,9.25%,9.99%,5.77%,4.99%,5.07%,5.65%,5.08%,4.34%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
No. of Shareholders,"34,245","22,894","62,877","61,138","65,810","1,26,895","1,69,215","1,47,350","1,39,813"
