,Mar 2023,Mar 2024,Mar 2025
Debtor Days,700,131,85
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,700,131,85
Working Capital Days,"-8,399",-590,-490
ROCE %,,8%,5%
