,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,37.47%,37.25%,37.07%,38.40%,37.00%,34.52%,31.16%,29.44%,28.31%
FIIs +,0.42%,0.02%,0.00%,0.00%,24.20%,23.29%,25.71%,30.69%,31.78%
DIIs +,15.33%,14.81%,13.93%,13.70%,10.04%,11.12%,11.08%,14.06%,16.74%
Public +,46.77%,47.92%,49.00%,47.90%,28.76%,31.07%,32.05%,25.81%,23.17%
No. of Shareholders,"7,627","14,905","23,513","27,245","55,607","1,56,055","1,81,466","2,03,720","1,85,524"
