,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,247,457,-91,"1,056","1,561","1,518","1,794","1,964"
Cash from Investing Activity +,-118,-567,-420,-499,"-1,800","-1,944","-2,762","-1,904"
Cash from Financing Activity +,-162,112,531,-423,167,424,916,-36
Net Cash Flow,-33,2,20,134,-72,-1,-51,24
