,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,23,24,24,48,56,57
Reserves,881,"1,023","1,226","1,372","1,772","2,096"
Borrowings +,400,507,533,580,360,290
Other Liabilities +,242,161,268,633,681,"1,074"
Total Liabilities,"1,545","1,715","2,051","2,634","2,869","3,517"
Fixed Assets +,391,399,398,517,535,769
CWIP,15,7,43,44,164,235
Investments,221,237,268,363,342,239
Other Assets +,919,"1,072","1,342","1,710","1,830","2,274"
Total Assets,"1,545","1,715","2,051","2,634","2,869","3,517"
