,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,255,255,255,255,255,255,255,255,255,255,255,255
Reserves,"5,311","5,297","6,600","7,653","10,847","12,086","12,643","14,035","17,998","19,466","21,986","21,339"
Borrowings +,"8,393","8,379","9,090","7,072","6,108","6,130","7,702","6,933","7,024","6,296","5,563","7,072"
Other Liabilities +,"6,127","6,872","8,402","8,607","8,648","8,398","7,073","7,115","8,566","8,923","8,907","9,114"
Total Liabilities,"20,086","20,802","24,346","23,587","25,858","26,869","27,673","28,337","33,843","34,940","36,711","37,780"
Fixed Assets +,"11,007","11,359","13,431","12,644","12,787","13,551","15,356","15,261","16,044","17,092","17,861","19,634"
CWIP,468,189,350,333,409,774,835,"1,094","1,668","2,410","2,217","1,879"
Investments,441,443,"2,188","2,787","2,840","5,615","4,285","5,816","7,683","7,448","9,739","9,144"
Other Assets +,"8,171","8,811","8,377","7,822","9,822","6,929","7,198","6,167","8,448","7,990","6,894","7,123"
Total Assets,"20,086","20,802","24,346","23,587","25,858","26,869","27,673","28,337","33,843","34,940","36,711","37,780"
