,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,38.97%,38.30%,38.43%,38.64%,42.05%,39.23%,39.24%,37.69%,34.37%
FIIs +,3.57%,6.39%,4.47%,5.12%,2.18%,6.66%,6.77%,7.66%,6.97%
DIIs +,7.03%,2.57%,1.36%,1.27%,0.08%,1.87%,2.78%,5.68%,13.26%
Public +,50.43%,52.74%,55.74%,54.96%,55.69%,52.11%,51.12%,48.91%,45.36%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.10%,0.06%,0.04%
No. of Shareholders,"2,37,416","2,42,002","2,28,277","2,17,556","2,51,132","6,28,752","5,90,692","7,29,536","8,40,219"
