,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
FIIs +,19.43%,25.11%,25.65%,29.31%,30.50%,33.60%,34.81%,26.22%,28.77%
DIIs +,17.69%,9.82%,11.01%,7.80%,6.32%,3.38%,4.55%,11.37%,11.18%
Public +,12.88%,15.07%,13.34%,12.89%,13.18%,13.02%,10.66%,12.41%,10.05%
No. of Shareholders,"2,77,488","3,25,721","3,08,014","3,11,154","3,77,345","4,37,536","3,94,760","4,54,319","4,26,703"
