,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,4,4,5,5,5,5,5,13,14,15
Reserves,58,65,108,115,122,150,163,293,631,"1,329"
Borrowings +,68,69,25,60,122,181,196,177,182,111
Other Liabilities +,24,27,21,23,31,61,61,70,68,73
Total Liabilities,154,165,160,202,279,397,426,553,896,"1,528"
Fixed Assets +,50,48,43,44,49,211,237,228,233,279
CWIP,9,18,35,66,136,37,23,67,159,191
Investments,0,0,0,0,0,0,0,0,0,3
Other Assets +,96,99,82,92,95,149,166,258,504,"1,055"
Total Assets,154,165,160,202,279,397,426,553,896,"1,528"
