,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,401","1,239","1,566","2,202","1,879","2,080","3,973","4,254","2,668","2,569","3,347","4,920"
Cash from Investing Activity +,"-1,234",-990,"-1,265","-2,048","-3,595",-720,"-5,590","-2,651","-2,143","-2,405","-1,418","-3,728"
Cash from Financing Activity +,-156,-259,-271,-167,"1,726","-1,276","1,581","-1,233",-849,-277,"-1,710","-1,296"
Net Cash Flow,11,-10,31,-13,10,84,-36,370,-324,-113,220,-104
