,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,624","2,069","2,436","3,136","2,548"
Expenses +,"2,197","1,818","2,134","2,631","2,191"
Operating Profit,427,251,302,505,357
OPM %,16%,12%,12%,16%,14%
Other Income +,10,7,13,19,19
Interest,33,36,34,31,49
Depreciation,132,136,141,141,171
Profit before tax,272,85,141,352,156
Tax %,25%,28%,26%,25%,26%
Net Profit +,205,61,104,263,115
EPS in Rs,0.46,0.14,0.23,0.58,0.25
Raw PDF,,,,,
