,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,82.72%,79.61%,73.92%,68.81%,62.76%,52.55%,52.47%
FIIs +,4.17%,8.00%,9.37%,10.42%,7.50%,20.01%,20.51%
DIIs +,2.21%,1.40%,5.95%,9.02%,17.63%,18.37%,18.01%
Public +,10.90%,10.99%,10.76%,11.75%,12.10%,9.06%,8.99%
No. of Shareholders,"3,89,062","4,18,795","4,64,596","5,77,010","5,54,569","4,36,183","4,33,737"
