,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.50%,74.50%,74.50%,74.50%,74.50%,74.50%,74.50%
FIIs +,0.00%,1.47%,0.97%,1.55%,2.68%,3.26%,3.85%
DIIs +,22.27%,16.67%,15.61%,10.68%,7.91%,6.14%,1.90%
Public +,3.23%,7.36%,8.92%,13.27%,14.91%,16.10%,19.76%
No. of Shareholders,"11,056","18,118","29,026","35,806","60,638","1,25,631","4,13,986"
