,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,51.52%,50.32%,50.32%,50.31%,50.33%,50.39%,50.37%,50.37%,50.37%,50.34%,50.32%,50.32%
FIIs +,27.66%,28.81%,30.15%,29.85%,30.89%,30.53%,31.28%,30.03%,26.63%,25.63%,25.14%,24.96%
DIIs +,6.92%,6.88%,5.98%,6.42%,6.16%,6.87%,6.56%,7.93%,11.24%,13.25%,13.72%,14.10%
Public +,13.88%,13.97%,13.50%,13.36%,12.58%,12.18%,11.76%,11.64%,11.74%,10.75%,10.76%,10.60%
Others +,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
No. of Shareholders,"9,98,779","10,35,193","9,92,975","10,05,702","9,26,138","8,75,877","8,44,728","8,58,844","8,92,355","7,83,844","7,91,447","7,71,949"
