,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,245,"3,279",-186
Cash from Investing Activity +,48,"-2,266",222
Cash from Financing Activity +,-627,"-1,164",-127
Net Cash Flow,-334,-150,-91
