,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,45.39%,45.39%,45.38%,45.61%,44.96%,44.86%,44.79%,50.29%,50.20%,50.78%,51.56%,51.61%
FIIs +,1.61%,1.97%,2.38%,2.36%,2.96%,5.12%,5.39%,5.13%,5.16%,5.24%,5.15%,5.38%
DIIs +,0.00%,0.01%,0.50%,0.48%,0.53%,0.50%,0.63%,2.12%,2.27%,3.60%,4.24%,4.62%
Public +,53.00%,52.64%,51.74%,51.54%,51.54%,49.53%,49.18%,42.47%,42.36%,40.38%,39.05%,38.38%
No. of Shareholders,"3,49,585","3,08,166","2,94,234","2,80,985","3,06,346","4,40,415","4,38,414","4,36,700","4,35,628","4,47,666","4,54,943","4,45,768"
