,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,86.50%,74.92%,56.29%,61.27%,57.26%,56.37%,60.93%
FIIs +,10.26%,21.14%,21.47%,16.53%,17.13%,18.15%,12.45%
DIIs +,0.24%,0.20%,0.30%,0.79%,1.45%,1.55%,2.40%
Public +,3.00%,3.75%,21.94%,21.41%,24.16%,23.93%,24.22%
No. of Shareholders,"83,552","94,098","1,66,386","2,28,469","7,46,294","6,68,586","9,95,700"
