,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,49,49,49,49,49,49,49,49
Reserves,395,393,500,467,599,733,865,"1,069"
Borrowings +,112,109,0,79,82,93,96,89
Other Liabilities +,142,186,252,247,227,221,403,390
Total Liabilities,698,736,801,842,957,"1,096","1,413","1,597"
Fixed Assets +,324,320,309,284,314,333,376,445
CWIP,0,0,0,0,0,9,13,5
Investments,218,233,306,236,317,330,407,425
Other Assets +,156,184,186,322,326,425,618,723
Total Assets,698,736,801,842,957,"1,096","1,413","1,597"
