,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,701,605,791,364,997,915
Cash from Investing Activity +,-761,"-1,520",-999,"1,211","-1,749","1,705"
Cash from Financing Activity +,-7,"1,238",35,15,-799,-433
Net Cash Flow,-67,323,-174,"1,590","-1,552","2,186"
