,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,131,105,119,117,125
Inventory Days,312,503,434,430,331
Days Payable,201,152,185,190,150
Cash Conversion Cycle,242,456,368,357,306
Working Capital Days,160,180,177,163,169
ROCE %,,32%,21%,26%,28%
