,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,463,463,463,518,519,755,755,755,755,755,755,755
Reserves,"3,820","3,585","3,998","4,626","3,543","5,846","5,906","5,365","5,423","6,487","6,908","8,162"
Borrowings +,"2,550","1,784","1,513","2,217","1,962","2,010","1,594","1,531","1,255",926,"1,155","2,475"
Other Liabilities +,"1,018","1,760","1,257","2,227","2,455","2,875","2,781","3,216","4,082","3,921","4,153","2,300"
Total Liabilities,"7,851","7,592","7,232","9,588","8,479","11,486","11,036","10,866","11,516","12,089","12,971","13,692"
Fixed Assets +,"4,147","4,218","3,642","5,419","4,992","8,477","8,802","8,799","9,416","9,426","9,874","10,426"
CWIP,147,228,226,268,226,450,204,165,193,228,542,404
Investments,"1,817","1,464","1,452","1,878","1,732",270,175,186,104,210,230,169
Other Assets +,"1,739","1,682","1,913","2,023","1,529","2,290","1,856","1,716","1,803","2,225","2,326","2,692"
Total Assets,"7,851","7,592","7,232","9,588","8,479","11,486","11,036","10,866","11,516","12,089","12,971","13,692"
