,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,41,34,40,33,31,35
Inventory Days,83,94,111,108,90,90
Days Payable,40,50,57,48,40,40
Cash Conversion Cycle,85,77,93,93,82,86
Working Capital Days,66,49,55,52,62,54
ROCE %,,23%,22%,16%,20%,19%
