,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,216,216,216,216,216,216,216,235,235,235,235,235
Reserves,"3,321","3,811","6,357","6,528","7,065","7,651","8,013","47,439","48,826","50,069","50,983","49,167"
Borrowings +,46,43,177,277,0,99,0,0,"1,043","1,219","1,484","1,648"
Other Liabilities +,"10,171","10,359","8,043","8,685","10,581","10,663","11,924","21,066","20,402","21,554","25,787","28,830"
Total Liabilities,"13,754","14,430","14,793","15,706","17,862","18,629","20,153","68,740","70,506","73,077","78,489","79,880"
Fixed Assets +,"2,746","2,821","3,258","4,419","4,528","4,715","5,479","51,443","51,473","52,678","53,744","54,335"
CWIP,373,516,408,229,461,406,597,745,"1,313","1,132","1,025","1,009"
Investments,"2,838","3,025","2,592","3,794","2,873","2,716","1,255","2,709","3,521","2,882","4,625","3,810"
Other Assets +,"7,797","8,067","8,535","7,264","10,000","10,792","12,822","13,843","14,199","16,385","19,095","20,726"
Total Assets,"13,754","14,430","14,793","15,706","17,862","18,629","20,153","68,740","70,506","73,077","78,489","79,880"
