,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,53
Reserves,"1,140","1,278","1,239","1,535","1,946","2,384","2,746","3,308","3,569","3,720","4,044","5,294"
Borrowings +,"2,130","2,214","3,221","2,106","1,766","1,839","2,519","2,066","3,065","3,383","3,985","3,957"
Other Liabilities +,"4,069","4,183","4,362","5,023","6,749","7,389","7,538","8,566","9,613","10,117","10,951","12,875"
Total Liabilities,"7,390","7,727","8,874","8,715","10,512","11,663","12,855","13,992","16,298","17,271","19,031","22,180"
Fixed Assets +,"1,352","1,259","1,198","1,149","1,112","1,182","1,352","1,398","1,538","1,583","1,628","1,647"
CWIP,18,16,8,5,78,7,84,18,2,11,14,39
Investments,0,0,25,130,39,13,22,1,13,0,0,0
Other Assets +,"6,020","6,452","7,643","7,431","9,283","10,460","11,396","12,575","14,745","15,677","17,389","20,495"
Total Assets,"7,390","7,727","8,874","8,715","10,512","11,663","12,855","13,992","16,298","17,271","19,031","22,180"
