,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025
Debtor Days,9,8,11,17,14,18,14,8,8,11,13,17
Inventory Days,419,379,394,339,323,333,208,193,337,234,268,238
Days Payable,251,265,299,324,370,339,231,259,359,198,230,154
Cash Conversion Cycle,176,123,107,32,-33,13,-9,-58,-14,46,50,100
Working Capital Days,-54,-61,-65,-67,-62,-34,-56,-80,-73,45,12,0
ROCE %,16%,18%,11%,11%,12%,12%,14%,14%,17%,12%,13%,11%
