,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,25,25,31,32,3,1,1,1,2,2,3,2
Inventory Days,78,87,86,,,,,,,,,
Days Payable,135,125,99,,,,,,,,,
Cash Conversion Cycle,-32,-12,18,32,3,1,1,1,2,2,3,2
Working Capital Days,-13,14,-90,-257,-255,-225,-221,-262,-284,-274,-220,-136
ROCE %,13%,13%,10%,7%,18%,11%,10%,10%,9%,10%,11%,11%
