,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,104,104,104,104,104,104,104,104,104,104,104,209
Reserves,249,265,375,429,494,564,619,773,988,"1,109","1,359","1,551"
Borrowings +,0,0,0,0,0,0,0,0,0,2,1,3
Other Liabilities +,101,122,74,73,92,116,138,207,232,241,317,399
Total Liabilities,455,491,553,606,690,784,862,"1,084","1,326","1,457","1,781","2,162"
Fixed Assets +,10,7,4,5,76,75,74,73,106,125,342,446
CWIP,0,0,0,0,0,0,0,23,4,174,4,7
Investments,375,389,457,503,521,593,665,709,925,937,"1,149","1,351"
Other Assets +,70,95,92,98,93,115,123,278,290,221,287,357
Total Assets,455,491,553,606,690,784,862,"1,084","1,326","1,457","1,781","2,162"
