,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,62.55%,62.55%,62.55%,62.55%,62.55%
FIIs +,5.75%,4.91%,5.81%,5.91%,7.20%
DIIs +,5.89%,6.54%,10.99%,11.39%,10.43%
Public +,25.81%,26.00%,20.65%,20.13%,19.84%
No. of Shareholders,"36,870","45,162","49,323","56,461","62,550"
