,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,58.25%,58.00%,57.86%,57.86%,51.83%
FIIs +,11.87%,10.72%,4.33%,3.59%,6.90%
DIIs +,11.25%,12.46%,23.23%,25.23%,33.27%
Public +,18.63%,18.82%,14.59%,13.32%,8.00%
No. of Shareholders,"84,467","1,09,098","1,50,578","1,22,375","1,13,788"
