,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,58.90%,58.29%,57.92%,57.67%
FIIs +,9.78%,35.24%,26.57%,18.69%
DIIs +,27.30%,1.44%,11.14%,15.44%
Public +,4.02%,5.02%,4.38%,8.22%
No. of Shareholders,"1,79,069","1,64,912","1,75,298","2,21,612"
