,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,050",913,610,"1,215",707,-132
Cash from Investing Activity +,-390,-260,-255,-861,-859,-131
Cash from Financing Activity +,-455,-564,-521,-483,246,290
Net Cash Flow,205,90,-165,-128,94,26
