,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,89.81%,89.81%,89.81%,89.81%,81.81%,81.81%,75.00%,75.00%
FIIs +,0.34%,0.07%,0.14%,0.10%,0.21%,0.30%,1.91%,2.46%
DIIs +,3.19%,2.80%,2.76%,2.29%,7.96%,7.29%,11.39%,9.69%
Public +,6.66%,7.32%,7.29%,7.81%,10.02%,10.61%,11.70%,12.85%
No. of Shareholders,"2,82,408","2,83,266","2,70,553","2,81,306","3,27,104","3,30,615","5,52,637","9,32,389"
