,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,75,83,107,82,101,102,
Inventory Days,234,211,293,237,223,225,
Days Payable,142,133,188,184,175,193,
Cash Conversion Cycle,167,161,212,135,148,134,
Working Capital Days,69,67,75,96,112,103,
ROCE %,,11%,22%,26%,21%,19%,
