,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,29.05%,28.96%,29.03%,24.94%,24.96%,24.91%,24.85%,24.78%,24.90%
FIIs +,21.50%,23.04%,23.96%,20.11%,21.50%,20.66%,28.09%,29.14%,28.03%
DIIs +,1.96%,2.52%,1.43%,0.35%,0.19%,1.04%,4.04%,8.59%,5.54%
Public +,47.46%,45.46%,45.55%,54.60%,53.35%,53.39%,43.01%,37.47%,41.54%
Others +,0.02%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"21,801","41,288","40,217","38,416","37,394","63,449","67,468","1,49,309","1,69,374"
