,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,67.80%,67.80%,67.80%,67.80%,67.80%,57.70%,51.05%
FIIs +,1.65%,2.28%,2.35%,2.20%,2.93%,2.90%,3.95%,7.20%,10.68%
DIIs +,9.44%,9.40%,7.63%,9.57%,11.42%,13.01%,12.44%,23.62%,26.80%
Public +,13.91%,13.32%,22.22%,20.43%,17.85%,16.29%,15.79%,11.45%,11.46%
No. of Shareholders,"52,348","51,510","50,167","49,122","48,361","55,480","66,652","62,838","76,270"
