,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%,99.03%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.02%
DIIs +,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.10%,0.09%,0.08%,0.07%,0.07%,0.07%
Public +,0.84%,0.83%,0.82%,0.84%,0.84%,0.84%,0.86%,0.86%,0.88%,0.88%,0.89%,0.88%
No. of Shareholders,"19,021","18,722","18,583","19,131","18,859","21,857","27,539","29,345","30,882","31,684","35,777","37,419"
