,Mar 2023,Mar 2024,Mar 2025
Promoters +,34.87%,26.51%,21.47%
FIIs +,6.98%,56.06%,58.75%
DIIs +,5.05%,6.97%,9.09%
Public +,53.10%,10.44%,10.69%
No. of Shareholders,"26,481","50,442","76,899"
