,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,19,22,22,22,22,24,24,24,24,26,26,31,31
Reserves,182,409,408,408,409,907,899,890,850,"1,219","2,257","6,248","6,435"
Borrowings +,426,565,705,817,821,912,"1,077","1,206","3,077","4,117","4,985","3,449","2,338"
Other Liabilities +,803,570,554,538,596,793,"1,169","1,368",985,"1,035","2,954","2,439","4,359"
Total Liabilities,"1,430","1,565","1,690","1,785","1,848","2,636","3,170","3,489","4,936","6,397","10,223","12,168","13,163"
Fixed Assets +,298,379,373,384,604,577,564,556,"2,282","2,238","4,225","4,148","4,108"
CWIP,417,450,509,551,313,617,"1,224","1,685","1,927","2,389","3,253","3,657","3,724"
Investments,9,1,1,2,8,324,149,8,1,3,30,134,184
Other Assets +,706,735,807,848,923,"1,118","1,233","1,239",726,"1,768","2,715","4,229","5,147"
Total Assets,"1,430","1,565","1,690","1,785","1,848","2,636","3,170","3,489","4,936","6,397","10,223","12,168","13,163"
