,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,90.97%,90.97%,90.97%,90.97%,86.46%,86.46%,86.46%,86.46%,86.46%,86.46%,79.60%,79.60%
FIIs +,0.16%,0.20%,0.16%,0.26%,0.68%,0.59%,0.45%,1.04%,1.20%,1.26%,1.54%,1.72%
DIIs +,3.74%,3.78%,3.39%,3.33%,6.43%,5.17%,4.71%,4.68%,4.58%,4.46%,10.88%,10.67%
Public +,5.13%,5.05%,5.49%,5.44%,6.42%,7.76%,8.37%,7.80%,7.75%,7.81%,7.99%,8.00%
No. of Shareholders,"3,79,399","3,71,592","4,33,506","4,41,517","4,53,524","6,06,046","6,77,087","8,46,746","9,19,663","9,48,432","9,95,543","10,06,265"
