,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,216,159,252,266,280,316,332,392,443,472,513,535,541
Expenses +,191,127,213,213,206,257,252,302,338,369,400,401,398
Operating Profit,25,32,39,53,74,60,80,90,104,103,113,134,142
OPM %,12%,20%,15%,20%,26%,19%,24%,23%,24%,22%,22%,25%,26%
Other Income +,15,10,14,14,10,10,9,9,11,10,11,9,10
Interest,8,8,7,6,10,7,8,8,11,4,2,3,3
Depreciation,4,4,4,4,4,4,4,5,5,5,8,8,9
Profit before tax,27,29,42,57,69,57,76,86,99,104,114,132,141
Tax %,23%,28%,22%,22%,33%,16%,23%,19%,11%,14%,8%,17%,16%
Net Profit +,23,24,34,45,48,50,60,71,84,91,106,110,119
EPS in Rs,0.77,0.84,1.03,1.41,1.52,1.56,1.85,2.22,2.29,2.66,3.09,3.23,3.46
Raw PDF,,,,,,,,,,,,,
