,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,58.07%,58.07%,58.07%,58.07%,58.07%,58.10%,58.10%,58.10%,58.10%,58.10%,58.10%,58.10%
FIIs +,15.11%,15.46%,16.40%,18.04%,18.34%,18.87%,17.97%,18.17%,17.65%,17.93%,18.22%,18.06%
DIIs +,2.36%,3.39%,3.77%,3.57%,3.70%,4.53%,5.08%,4.92%,6.71%,6.68%,6.69%,6.31%
Public +,24.46%,23.06%,21.76%,20.31%,19.88%,18.50%,18.83%,18.80%,17.55%,17.29%,16.99%,17.52%
No. of Shareholders,"81,818","77,631","76,366","71,850","69,138","60,395","60,275","65,445","62,660","74,810","73,784","86,749"
