,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,85.62%,75.00%,75.00%,75.00%,73.39%,67.55%,72.01%,52.87%,48.27%
FIIs +,1.13%,7.28%,6.92%,1.91%,1.78%,2.74%,1.89%,9.47%,15.68%
DIIs +,2.56%,0.34%,0.77%,0.53%,0.00%,0.00%,0.00%,10.16%,9.44%
Public +,10.69%,17.38%,17.31%,22.56%,24.82%,29.70%,26.10%,27.49%,26.61%
No. of Shareholders,"60,868","53,037","49,686","48,617","44,410","59,624","53,212","1,17,484","3,80,249"
