,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,6.51%,6.68%,4.50%,2.68%,1.97%,3.25%,4.85%,5.40%,5.46%
DIIs +,6.65%,5.90%,5.22%,10.87%,11.31%,9.51%,9.86%,11.73%,13.04%
Public +,11.84%,12.42%,15.28%,11.45%,11.72%,12.24%,10.29%,7.88%,6.49%
No. of Shareholders,"19,308","16,787","17,042","16,867","22,222","29,768","36,656","34,031","29,904"
