,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,563,563,563,564,564,564,564,564,564,564,564,564
Reserves,"2,823","3,217","3,423","3,962","1,865","2,731","4,320","5,827","7,355","8,885","10,261","11,082"
Borrowings +,"1,429","1,157","1,067","2,989","5,386","4,579","3,629","2,003",713,149,140,138
Other Liabilities +,811,931,785,"4,293","4,148","4,587","4,837","5,775","6,662","7,718","8,091","9,023"
Total Liabilities,"5,625","5,868","5,838","11,808","11,963","12,461","13,350","14,169","15,294","17,316","19,056","20,807"
Fixed Assets +,"3,205","3,169","3,123","8,069","8,208","8,897","9,256","9,497","9,946","10,481","10,779","11,711"
CWIP,804,949,768,"1,192","1,374",908,807,953,"1,245","1,409","1,680","1,106"
Investments,543,633,723,469,590,696,"1,023","1,457","1,670","1,621","1,889","1,792"
Other Assets +,"1,073","1,117","1,224","2,079","1,790","1,960","2,264","2,262","2,433","3,805","4,708","6,198"
Total Assets,"5,625","5,868","5,838","11,808","11,963","12,461","13,350","14,169","15,294","17,316","19,056","20,807"
