,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"2,366","2,181","2,621","2,700","2,638","2,433","2,796","2,960","3,045","2,908","3,263","3,251","3,272"
Expenses +,"2,081","1,961","2,359","2,342","2,243","2,080","2,429","2,534","2,589","2,498","2,826","2,818","2,867"
Operating Profit,285,220,261,359,395,353,367,425,456,410,437,433,406
OPM %,12%,10%,10%,13%,15%,15%,13%,14%,15%,14%,13%,13%,12%
Other Income +,19,16,17,24,27,-23,24,29,24,33,30,25,146
Interest,4,5,5,5,6,8,8,8,8,11,9,14,11
Depreciation,102,99,96,102,115,124,117,122,122,123,123,127,132
Profit before tax,198,133,178,275,301,198,266,325,350,309,335,317,409
Tax %,26%,26%,26%,27%,26%,28%,25%,27%,23%,26%,26%,26%,27%
Net Profit +,145,99,132,201,222,142,198,238,268,230,249,236,298
EPS in Rs,8.51,5.79,7.73,11.78,12.99,8.34,11.61,13.96,15.68,12.55,13.61,12.87,16.30
Raw PDF,,,,,,,,,,,,,
