,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,127,127,127,127,127,127,127,127
Reserves,"1,669","2,019","2,437","2,731","3,231","3,393","3,562","3,823"
Borrowings +,0,0,0,51,134,112,231,62
Other Liabilities +,"1,429","1,566","1,837","2,139","2,142","2,268","2,165","2,763"
Total Liabilities,"3,226","3,712","4,400","5,048","5,634","5,900","6,084","6,776"
Fixed Assets +,446,508,709,707,"1,803","1,917","1,932","1,913"
CWIP,33,43,44,41,76,20,21,49
Investments,456,659,567,207,0,0,0,0
Other Assets +,"2,291","2,501","3,080","4,093","3,754","3,963","4,131","4,813"
Total Assets,"3,226","3,712","4,400","5,048","5,634","5,900","6,084","6,776"
