,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.77%,74.74%,61.33%,62.21%,67.19%,67.18%,67.17%,67.16%,69.65%
FIIs +,14.79%,12.25%,12.12%,11.22%,7.79%,9.00%,10.41%,7.92%,6.97%
DIIs +,3.19%,4.59%,4.70%,4.62%,5.06%,3.27%,2.13%,4.86%,2.49%
Public +,7.17%,8.42%,21.85%,21.95%,19.95%,20.55%,20.28%,20.05%,20.89%
Others +,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"56,099","68,773","76,243","82,879","87,357","95,100","96,476","90,399","87,744"
