,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,70.00%,70.00%,70.00%,70.00%
FIIs +,4.54%,5.06%,5.02%,4.33%
DIIs +,9.14%,8.88%,9.28%,9.97%
Public +,16.30%,16.05%,15.71%,15.71%
No. of Shareholders,"1,06,437","1,00,982","87,449","85,480"
