,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,67.18%,33.00%,29.71%,28.02%
FIIs +,8.79%,24.69%,32.93%,29.91%
DIIs +,16.42%,31.28%,28.77%,34.43%
Public +,7.61%,11.01%,8.59%,7.62%
No. of Shareholders,"3,95,367","4,82,517","4,12,728","4,08,859"
