,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,51,111,111,111,120,120,122,122,122,126,126,126
Reserves,"2,715","3,291","3,281","3,336","3,962","4,475","4,784","5,049","5,481","6,041","6,514","7,198"
Borrowings +,"3,914","3,390","3,208","2,572","2,061","2,691","2,181","2,062","1,302",974,980,"1,594"
Other Liabilities +,"5,435","5,753","5,721","5,090","6,265","7,374","6,724","6,307","7,553","9,409","10,475","12,089"
Total Liabilities,"12,115","12,545","12,321","11,109","12,408","14,660","13,812","13,540","14,458","16,550","18,095","21,006"
Fixed Assets +,"2,608","2,446","1,674","1,099","1,158","1,551","1,413","1,417","1,443","1,503","1,565","1,650"
CWIP,24,11,8,1,23,13,15,22,7,22,41,37
Investments,"1,108","1,133","1,128",729,619,475,448,440,346,352,155,148
Other Assets +,"8,375","8,955","9,510","9,281","10,608","12,621","11,935","11,661","12,662","14,673","16,334","19,171"
Total Assets,"12,115","12,545","12,321","11,109","12,408","14,660","13,812","13,540","14,458","16,550","18,095","21,006"
