,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,38,32,29,30,32,32,29,36,39,27,28,30
Inventory Days,114,104,103,120,115,103,120,146,138,111,111,123
Days Payable,89,87,92,115,108,96,98,135,128,93,94,102
Cash Conversion Cycle,64,49,40,36,38,39,51,47,49,45,45,51
Working Capital Days,44,34,37,7,27,30,32,23,19,25,22,48
ROCE %,5%,6%,4%,8%,10%,11%,9%,9%,17%,11%,11%,15%
