,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,199,186,-29,191,623,-13,154,229,514,610,-32
Cash from Investing Activity +,-17,-98,-63,-76,-275,11,75,-58,-137,-353,"-1,501"
Cash from Financing Activity +,-182,-87,229,-69,-386,99,-129,-31,-256,-72,"1,919"
Net Cash Flow,0,1,137,45,-38,97,101,139,121,186,386
