,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.46%,74.47%,74.47%,74.47%,74.45%,74.45%,74.45%,74.45%,74.45%,74.45%,74.45%,74.45%
FIIs +,1.18%,1.23%,1.27%,0.81%,0.97%,0.99%,1.13%,2.31%,2.53%,2.62%,2.65%,2.69%
DIIs +,14.14%,13.98%,13.28%,12.59%,12.38%,12.56%,12.20%,11.19%,10.48%,10.31%,10.13%,10.28%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%
Public +,10.22%,10.34%,10.98%,12.13%,12.22%,11.98%,12.21%,12.04%,12.53%,12.61%,12.73%,12.55%
No. of Shareholders,"20,928","20,743","22,158","22,913","22,586","22,317","24,099","24,429","26,795","29,973","32,643","34,629"
