,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,48,48,49,49,50,51,54,54,54
Reserves,976,"1,136","1,246","1,300","1,333","1,565","2,375","2,852","3,333"
Borrowings +,165,456,787,929,931,"1,109","1,122",802,718
Other Liabilities +,295,343,347,388,380,421,547,597,662
Total Liabilities,"1,485","1,984","2,430","2,666","2,694","3,146","4,097","4,304","4,766"
Fixed Assets +,914,"1,094","1,194","1,703","1,616","1,776","2,050","2,237","2,519"
CWIP,12,317,666,382,464,439,327,386,529
Investments,0,0,0,0,0,0,0,0,3
Other Assets +,559,573,570,581,615,930,"1,720","1,681","1,716"
Total Assets,"1,485","1,984","2,430","2,666","2,694","3,146","4,097","4,304","4,766"
