,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,598,766,484,"1,005",892
Cash from Investing Activity +,"-4,464","-1,737","-1,334",-416,-477
Cash from Financing Activity +,"3,977",794,818,-422,-441
Net Cash Flow,110,-177,-32,166,-26
