,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,Mar 2024,Mar 2025
Debtor Days,80,74,67,49,70,,67,62
Inventory Days,103,93,82,91,138,,68,83
Days Payable,74,86,89,99,134,,114,119
Cash Conversion Cycle,109,81,60,41,74,,21,26
Working Capital Days,103,89,75,54,90,,45,44
ROCE %,,27%,28%,26%,25%,,,18%
