,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,81,81,99,99,119,119,119,119,142,142,142,142
Reserves,"2,556","2,146","2,481","2,419","4,062","4,229","4,238","3,530","6,920","7,840","9,314","11,018"
Borrowings +,"4,252","5,074","4,526","3,383","2,427","2,326","4,501","5,518","3,888","3,139","2,736","3,084"
Other Liabilities +,"2,626","2,582","2,691","2,698","2,706","2,840","2,584","2,268","2,052","2,391","2,541","3,459"
Total Liabilities,"9,514","9,884","9,797","8,599","9,314","9,514","11,442","11,435","13,002","13,512","14,733","17,704"
Fixed Assets +,"6,215","6,299","6,762","5,815","6,163","6,422","8,059","8,438","8,415","8,819","9,311","10,975"
CWIP,554,306,290,223,197,116,244,165,194,332,256,576
Investments,"1,427","1,587","1,515","1,244","1,511","1,335","1,427","1,483","1,967","1,891","2,261","2,279"
Other Assets +,"1,318","1,692","1,231","1,317","1,443","1,641","1,712","1,349","2,426","2,470","2,905","3,874"
Total Assets,"9,514","9,884","9,797","8,599","9,314","9,514","11,442","11,435","13,002","13,512","14,733","17,704"
