,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,93,106,102,74,72,77
Inventory Days,228,209,167,191,150,156
Days Payable,139,122,121,103,99,131
Cash Conversion Cycle,182,193,148,162,123,102
Working Capital Days,166,156,127,147,126,101
ROCE %,,13%,26%,22%,15%,14%
