,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,84,84,82,72,78,68,71,70,84,67,72,76
Inventory Days,120,122,146,138,145,149,159,181,178,134,155,147
Days Payable,54,63,71,68,75,72,97,97,97,75,110,114
Cash Conversion Cycle,150,143,158,142,148,146,133,153,164,127,117,109
Working Capital Days,99,56,96,88,101,97,87,99,127,102,91,110
ROCE %,13%,13%,15%,14%,11%,18%,23%,33%,23%,22%,25%,27%
